Organizationcode,organizationid,Organizationname,Schoolyear,Test Administration (group),Test Subject,Percent Taking WaAIM,Denominator ExcludingPP,PercentMet IncludingPP
2640,101328,Highlands Elementary School,2017-18,General,Science,,85,34.1%
2641,101745,East Port Orchard Elementary,2017-18,General,English Language Arts,,200,52.0%
2641,101745,East Port Orchard Elementary,2017-18,General,Math,,200,53.5%
2641,101745,East Port Orchard Elementary,2017-18,General,Science,,53,58.4%
2642,100406,Jefferson Elementary,2017-18,General,English Language Arts,1.44%,206,45.6%
2642,100406,Jefferson Elementary,2017-18,General,Math,1.44%,205,41.4%
2642,100406,Jefferson Elementary,2017-18,General,Science,1.25%,79,39.2%
2643,100527,Harney Elementary School,2017-18,General,English Language Arts,,336,41.3%
2643,100527,Harney Elementary School,2017-18,General,Math,,336,33.9%
2643,100527,Harney Elementary School,2017-18,General,Science,,133,48.1%
2644,100528,Peter S Ogden Elementary,2017-18,General,English Language Arts,,261,36.3%
2644,100528,Peter S Ogden Elementary,2017-18,General,Math,,262,29.0%
2644,100528,Peter S Ogden Elementary,2017-18,General,Science,,98,31.6%
2645,101098,West Seattle Elementary School,2017-18,General,English Language Arts,3.14%,185,48.1%
2645,101098,West Seattle Elementary School,2017-18,General,Math,3.14%,185,55.1%
2645,101098,West Seattle Elementary School,2017-18,General,Science,,50,36.0%
2650,101746,Orchard Heights Elementary,2017-18,General,English Language Arts,,420,64.5%
2650,101746,Orchard Heights Elementary,2017-18,General,Math,,418,61.0%
2650,101746,Orchard Heights Elementary,2017-18,General,Science,,141,68.0%
2651,102219,Tillicum Elementary School,2017-18,General,English Language Arts,,179,35.1%
2651,102219,Tillicum Elementary School,2017-18,General,Math,,179,35.1%
2651,102219,Tillicum Elementary School,2017-18,General,Science,,63,26.9%
2652,102220,Lakeview Hope Academy,2017-18,General,English Language Arts,,329,40.4%
2652,102220,Lakeview Hope Academy,2017-18,General,Math,,330,44.5%
2652,102220,Lakeview Hope Academy,2017-18,General,Science,,113,24.7%
2653,102824,Trent School,2017-18,General,English Language Arts,0.39%,258,42.2%
2653,102824,Trent School,2017-18,General,Math,0.39%,258,31.0%
2653,102824,Trent School,2017-18,General,Science,,59,35.5%
2656,100408,Marcus Whitman Elementary,2017-18,General,English Language Arts,,287,54.0%
2656,100408,Marcus Whitman Elementary,2017-18,General,Math,,288,53.1%
2656,100408,Marcus Whitman Elementary,2017-18,General,Science,,96,39.5%
2657,100409,Lewis & Clark Elementary School,2017-18,General,English Language Arts,,315,64.7%
2657,100409,Lewis & Clark Elementary School,2017-18,General,Math,,315,58.0%
2657,100409,Lewis & Clark Elementary School,2017-18,General,Science,,126,61.1%
2659,101415,Terminal Park Elementary School,2017-18,General,English Language Arts,2.97%,229,56.3%
2659,101415,Terminal Park Elementary School,2017-18,General,Math,2.95%,230,60.4%
2659,101415,Terminal Park Elementary School,2017-18,General,Science,2.35%,83,48.1%
2662,101929,Belfair Elementary,2017-18,General,English Language Arts,2.16%,226,36.7%
2662,101929,Belfair Elementary,2017-18,General,Math,2.16%,227,32.1%
2662,101929,Belfair Elementary,2017-18,General,Science,1.27%,78,38.4%
2664,102873,Gess Elementary,2017-18,General,English Language Arts,1.63%,181,61.3%
2664,102873,Gess Elementary,2017-18,General,Math,1.63%,181,53.5%
2664,102873,Gess Elementary,2017-18,General,Science,,53,60.3%
2666,100718,Orondo Elementary and Middle School,2017-18,General,English Language Arts,0.82%,121,43.8%
2666,100718,Orondo Elementary and Middle School,2017-18,General,Math,0.82%,121,35.5%
2666,100718,Orondo Elementary and Middle School,2017-18,General,Science,2.38%,41,26.8%
2667,101099,View Ridge Elementary School,2017-18,General,English Language Arts,1.70%,289,82.0%
2667,101099,View Ridge Elementary School,2017-18,General,Math,1.69%,291,76.6%
2667,101099,View Ridge Elementary School,2017-18,General,Science,2.91%,100,87.0%
2668,101901,Davenport Elementary,2017-18,General,English Language Arts,,125,59.2%
2668,101901,Davenport Elementary,2017-18,General,Math,,125,68.8%
2668,101901,Davenport Elementary,2017-18,General,Science,,41,56.0%
2669,102442,Madison Elementary,2017-18,General,English Language Arts,8.45%,195,52.8%
2669,102442,Madison Elementary,2017-18,General,Math,8.49%,194,45.3%
2669,102442,Madison Elementary,2017-18,General,Science,9.46%,67,43.2%
2671,100635,Amboy Middle School,2017-18,General,English Language Arts,1.05%,564,58.8%
2671,100635,Amboy Middle School,2017-18,General,Math,1.05%,564,50.1%
2671,100635,Amboy Middle School,2017-18,General,Science,1.39%,283,61.8%
2673,100826,Frontier Middle School,2017-18,General,English Language Arts,1.49%,727,45.9%
2673,100826,Frontier Middle School,2017-18,General,Math,1.50%,724,36.0%
2673,100826,Frontier Middle School,2017-18,General,Science,2.89%,235,31.9%
2676,101796,Trout Lake School,2017-18,General,English Language Arts,1.04%,95,63.1%
2676,101796,Trout Lake School,2017-18,General,Math,1.04%,95,48.4%
2676,101796,Trout Lake School,2017-18,General,Science,1.69%,58,60.3%
2677,101807,Goldendale Primary School,2017-18,General,English Language Arts,1.46%,135,37.7%
2677,101807,Goldendale Primary School,2017-18,General,Math,1.46%,135,26.6%
2678,101830,Morton Elementary School,2017-18,General,English Language Arts,1.03%,96,54.1%
2678,101830,Morton Elementary School,2017-18,General,Math,1.05%,94,53.1%
2678,101830,Morton Elementary School,2017-18,General,Science,,20,65.0%
2679,101971,Tonasket High School,2017-18,General,English Language Arts,1.23%,80,63.7%
2679,101971,Tonasket High School,2017-18,General,Math,1.25%,79,35.4%
2679,101971,Tonasket High School,2017-18,General,Science,,77,29.8%
2681,102251,Peninsula High School,2017-18,General,English Language Arts,0.85%,351,78.0%
2681,102251,Peninsula High School,2017-18,General,Math,0.85%,350,46.0%
2681,102251,Peninsula High School,2017-18,General,Science,1.58%,311,37.2%
2687,103112,Nooksack Valley Middle School,2017-18,General,English Language Arts,,347,63.9%
2687,103112,Nooksack Valley Middle School,2017-18,General,Math,,347,51.2%
2687,103112,Nooksack Valley Middle School,2017-18,General,Science,,109,52.2%
2688,100430,Paul Rumburg Elementary,2017-18,General,English Language Arts,,78,42.3%
2688,100430,Paul Rumburg Elementary,2017-18,General,Math,,78,35.8%
2688,100430,Paul Rumburg Elementary,2017-18,General,Science,,23,65.2%
2689,100435,Morgen Owings Elementary School,2017-18,General,English Language Arts,0.32%,312,41.0%
2689,100435,Morgen Owings Elementary School,2017-18,General,Math,0.32%,312,40.0%
2689,100435,Morgen Owings Elementary School,2017-18,General,Science,0.98%,101,28.7%
2690,100530,Hazel Dell Elementary School,2017-18,General,English Language Arts,,239,56.4%
2690,100530,Hazel Dell Elementary School,2017-18,General,Math,,239,42.2%
2690,100530,Hazel Dell Elementary School,2017-18,General,Science,,82,39.0%
2691,100707,Catlin Elementary,2017-18,General,English Language Arts,,176,46.5%
2691,100707,Catlin Elementary,2017-18,General,Math,,176,40.9%
2691,100707,Catlin Elementary,2017-18,General,Science,,53,43.3%
2693,100813,Coulee City Elementary,2017-18,General,English Language Arts,,45,71.1%
2693,100813,Coulee City Elementary,2017-18,General,Math,,45,64.4%
2693,100813,Coulee City Elementary,2017-18,General,Science,,14,71.4%
2694,100817,Soap Lake Elementary,2017-18,General,English Language Arts,1.11%,89,24.7%
2694,100817,Soap Lake Elementary,2017-18,General,Math,1.11%,89,30.3%
2694,100817,Soap Lake Elementary,2017-18,General,Science,,36,27.7%
2695,100839,Parkway School,2017-18,General,English Language Arts,,395,62.0%
2695,100839,Parkway School,2017-18,General,Math,,394,62.1%
2695,100839,Parkway School,2017-18,General,Science,,202,50.0%
2696,100919,Oak Harbor Elementary,2017-18,General,English Language Arts,,140,56.4%
2696,100919,Oak Harbor Elementary,2017-18,General,Math,,139,48.2%
2697,100953,Chimacum Elementary School,2017-18,General,English Language Arts,0.51%,194,47.4%
2697,100953,Chimacum Elementary School,2017-18,General,Math,0.51%,194,46.3%
2697,100953,Chimacum Elementary School,2017-18,General,Science,,59,47.4%
2699,101261,Hazel Valley Elementary,2017-18,General,English Language Arts,2.73%,392,43.3%
2699,101261,Hazel Valley Elementary,2017-18,General,Math,2.49%,391,40.1%
2699,101261,Hazel Valley Elementary,2017-18,General,Science,3.19%,91,35.1%
2701,101357,Bellevue High School,2017-18,General,English Language Arts,0.25%,402,87.8%
2701,101357,Bellevue High School,2017-18,General,Math,0.25%,404,82.1%
2701,101357,Bellevue High School,2017-18,General,Science,0.23%,433,1.1%
2702,101416,West Auburn Senior High School,2017-18,General,English Language Arts,,62,12.9%
2702,101416,West Auburn Senior High School,2017-18,General,Math,,62,
2702,101416,West Auburn Senior High School,2017-18,General,Science,,72,
2703,101488,Ridgecrest Elementary,2017-18,General,English Language Arts,,364,72.5%
2703,101488,Ridgecrest Elementary,2017-18,General,Math,,364,63.7%
2703,101488,Ridgecrest Elementary,2017-18,General,Science,,101,73.2%
2704,101871,Fords Prairie Elementary,2017-18,General,English Language Arts,,94,45.7%
2704,101871,Fords Prairie Elementary,2017-18,General,Math,,94,50.0%
2706,101976,Oroville Middle-High School,2017-18,General,English Language Arts,,124,46.7%
2706,101976,Oroville Middle-High School,2017-18,General,Math,,124,28.2%
2706,101976,Oroville Middle-High School,2017-18,General,Science,,80,42.5%
2707,102392,Anacortes Middle School,2017-18,General,English Language Arts,1.29%,612,70.4%
2707,102392,Anacortes Middle School,2017-18,General,Math,1.29%,610,63.4%
2707,102392,Anacortes Middle School,2017-18,General,Science,0.55%,182,65.9%
2708,102711,Madison Elementary,2017-18,General,English Language Arts,5.94%,190,51.5%
2708,102711,Madison Elementary,2017-18,General,Math,5.91%,191,44.5%
2708,102711,Madison Elementary,2017-18,General,Science,6.25%,45,42.2%
2712,103037,Waitsburg Elementary School,2017-18,General,English Language Arts,,64,67.1%
2712,103037,Waitsburg Elementary School,2017-18,General,Math,,64,37.5%
2712,103037,Waitsburg Elementary School,2017-18,General,Science,,22,50.0%
2713,103089,Blaine Elementary School,2017-18,General,English Language Arts,1.98%,494,53.8%
2713,103089,Blaine Elementary School,2017-18,General,Math,1.99%,493,55.9%
2713,103089,Blaine Elementary School,2017-18,General,Science,2.81%,173,60.6%
2714,103167,Union Gap School,2017-18,General,English Language Arts,1.22%,404,54.4%
2714,103167,Union Gap School,2017-18,General,Math,1.22%,404,53.7%
2714,103167,Union Gap School,2017-18,General,Science,2.11%,139,41.0%
2715,103186,Hoover Elementary School,2017-18,General,English Language Arts,,316,30.0%
2715,103186,Hoover Elementary School,2017-18,General,Math,,318,28.6%
2715,103186,Hoover Elementary School,2017-18,General,Science,,99,21.2%
2717,103239,Washington Elementary,2017-18,General,English Language Arts,1.97%,398,46.4%
2717,103239,Washington Elementary,2017-18,General,Math,1.96%,400,51.2%
2717,103239,Washington Elementary,2017-18,General,Science,,139,44.6%
2718,103257,Highland Junior High School,2017-18,General,English Language Arts,2.55%,191,38.2%
2718,103257,Highland Junior High School,2017-18,General,Math,2.55%,191,34.0%
2718,103257,Highland Junior High School,2017-18,General,Science,1.96%,100,39.0%
2719,100341,Ritzville Grade School,2017-18,General,English Language Arts,,86,63.9%
2719,100341,Ritzville Grade School,2017-18,General,Math,,86,61.6%
2719,100341,Ritzville Grade School,2017-18,General,Science,,31,67.7%
2721,100411,Carmichael Middle School,2017-18,General,English Language Arts,,828,52.6%
2721,100411,Carmichael Middle School,2017-18,General,Math,,828,37.3%
2721,100411,Carmichael Middle School,2017-18,General,Science,,271,40.2%
2722,100496,Helen Haller Elementary School,2017-18,General,English Language Arts,2.23%,307,63.8%
2722,100496,Helen Haller Elementary School,2017-18,General,Math,2.23%,307,63.8%
2722,100496,Helen Haller Elementary School,2017-18,General,Science,,108,59.2%
2723,100531,Minnehaha Elementary School,2017-18,General,English Language Arts,,304,47.0%
2723,100531,Minnehaha Elementary School,2017-18,General,Math,,303,40.2%
2723,100531,Minnehaha Elementary School,2017-18,General,Science,,97,42.2%
2724,100592,Evergreen High School,2017-18,General,English Language Arts,1.31%,378,57.6%
2724,100592,Evergreen High School,2017-18,General,Math,1.30%,380,30.0%
2724,100592,Evergreen High School,2017-18,General,Science,1.20%,410,17.8%
2725,100622,Helen Baller Elem,2017-18,General,English Language Arts,2.11%,324,78.0%
2725,100622,Helen Baller Elem,2017-18,General,Math,2.11%,324,71.9%
2725,100622,Helen Baller Elem,2017-18,General,Science,,108,77.7%
2726,100669,Olympic Elementary School,2017-18,General,English Language Arts,,194,40.7%
2726,100669,Olympic Elementary School,2017-18,General,Math,,194,33.5%
2726,100669,Olympic Elementary School,2017-18,General,Science,,51,39.2%
2727,100727,Eastmont Senior High,2017-18,General,English Language Arts,0.44%,457,63.8%
2727,100727,Eastmont Senior High,2017-18,General,Math,0.43%,458,28.8%
2727,100727,Eastmont Senior High,2017-18,General,Science,0.43%,459,29.4%
2728,100880,North Beach Senior High School,2017-18,General,English Language Arts,,46,67.3%
2728,100880,North Beach Senior High School,2017-18,General,Math,,46,39.1%
2728,100880,North Beach Senior High School,2017-18,General,Science,,41,
2729,101101,Eckstein Middle School,2017-18,General,English Language Arts,0.74%,941,80.0%
2729,101101,Eckstein Middle School,2017-18,General,Math,0.74%,944,74.3%
2729,101101,Eckstein Middle School,2017-18,General,Science,0.34%,296,76.0%
2730,101102,Arbor Heights Elementary School,2017-18,General,English Language Arts,,232,60.3%
2730,101102,Arbor Heights Elementary School,2017-18,General,Math,,232,52.5%
2730,101102,Arbor Heights Elementary School,2017-18,General,Science,,57,47.3%
2733,101105,Lafayette Elementary School,2017-18,General,English Language Arts,,189,69.3%
2733,101105,Lafayette Elementary School,2017-18,General,Math,,189,65.6%
2733,101105,Lafayette Elementary School,2017-18,General,Science,,56,60.7%
2734,101262,McMicken Heights Elementary,2017-18,General,English Language Arts,,328,44.8%
2734,101262,McMicken Heights Elementary,2017-18,General,Math,,328,39.9%
2734,101262,McMicken Heights Elementary,2017-18,General,Science,,75,28.0%
2738,101459,Clark Elementary,2017-18,General,English Language Arts,,379,69.6%
2738,101459,Clark Elementary,2017-18,General,Math,,381,67.4%
2738,101459,Clark Elementary,2017-18,General,Science,,124,71.7%
2739,101524,Lake Washington High School,2017-18,General,English Language Arts,1.01%,391,89.0%
2739,101524,Lake Washington High School,2017-18,General,Math,1.27%,389,67.0%
2739,101524,Lake Washington High School,2017-18,General,Science,0.93%,428,44.1%
2741,101773,Lincoln Elementary,2017-18,General,English Language Arts,,253,42.2%
2741,101773,Lincoln Elementary,2017-18,General,Math,,254,33.8%
2741,101773,Lincoln Elementary,2017-18,General,Science,,92,50.0%
2743,101897,Harrington Elementary School,2017-18,General,English Language Arts,,40,37.5%
2743,101897,Harrington Elementary School,2017-18,General,Math,,40,32.5%
2743,101897,Harrington Elementary School,2017-18,General,Science,,10,50.0%
2744,101904,Southside Elementary,2017-18,General,English Language Arts,,128,53.9%
2744,101904,Southside Elementary,2017-18,General,Math,,128,48.4%
2744,101904,Southside Elementary,2017-18,General,Science,,26,46.1%
2745,101912,Evergreen Elementary School,2017-18,General,English Language Arts,,268,22.0%
2745,101912,Evergreen Elementary School,2017-18,General,Math,,270,15.1%
2745,101912,Evergreen Elementary School,2017-18,General,Science,,75,29.3%
2746,102126,Geiger,2017-18,General,English Language Arts,,227,50.2%
2746,102126,Geiger,2017-18,General,Math,,227,45.3%
2746,102126,Geiger,2017-18,General,Science,,81,50.6%
2747,102127,Downing,2017-18,General,English Language Arts,,129,65.1%
2747,102127,Downing,2017-18,General,Math,,128,56.2%
2747,102127,Downing,2017-18,General,Science,,41,58.5%
2748,102292,Kapowsin Elementary,2017-18,General,English Language Arts,,217,54.8%
2748,102292,Kapowsin Elementary,2017-18,General,Math,,217,51.6%
2748,102292,Kapowsin Elementary,2017-18,General,Science,,84,51.1%
2749,102342,Orcas Island Elementary School,2017-18,General,English Language Arts,0.98%,101,65.3%
2749,102342,Orcas Island Elementary School,2017-18,General,Math,0.97%,102,46.0%
2749,102342,Orcas Island Elementary School,2017-18,General,Science,3.03%,32,43.7%
2750,102343,Orcas Island High School,2017-18,General,English Language Arts,,31,77.4%
2750,102343,Orcas Island High School,2017-18,General,Math,,32,56.2%
2750,102343,Orcas Island High School,2017-18,General,Science,3.13%,31,41.9%
2751,102443,Jackson Elementary School,2017-18,General,English Language Arts,,174,65.5%
2751,102443,Jackson Elementary School,2017-18,General,Math,,174,51.1%
2751,102443,Jackson Elementary School,2017-18,General,Science,,56,57.1%
2752,102444,Whittier Elementary,2017-18,General,English Language Arts,2.27%,258,76.3%
2752,102444,Whittier Elementary,2017-18,General,Math,2.27%,258,69.7%
2752,102444,Whittier Elementary,2017-18,General,Science,6.17%,76,75.0%
2754,102924,South Bay Elementary,2017-18,General,English Language Arts,,373,63.5%
2754,102924,South Bay Elementary,2017-18,General,Math,,373,66.2%
2754,102924,South Bay Elementary,2017-18,General,Science,,131,69.4%
2756,103232,Thompson Elementary School,2017-18,General,English Language Arts,,281,43.0%
2756,103232,Thompson Elementary School,2017-18,General,Math,,282,47.5%
2756,103232,Thompson Elementary School,2017-18,General,Science,,101,32.6%
2757,103277,Satus Elementary,2017-18,General,English Language Arts,1.73%,341,18.4%
2757,103277,Satus Elementary,2017-18,General,Math,1.73%,341,14.3%
2757,103277,Satus Elementary,2017-18,General,Science,1.90%,103,9.7%
2758,103287,Mountainview Elementary,2017-18,General,English Language Arts,,80,70.0%
2758,103287,Mountainview Elementary,2017-18,General,Math,,80,63.7%
2762,100688,Castle Rock Elementary,2017-18,General,English Language Arts,,306,49.3%
2762,100688,Castle Rock Elementary,2017-18,General,Math,,305,40.3%
2762,100688,Castle Rock Elementary,2017-18,General,Science,,82,51.2%
2763,100862,Robert Gray Elementary,2017-18,General,English Language Arts,,209,40.1%
2763,100862,Robert Gray Elementary,2017-18,General,Math,,210,38.5%
2763,100862,Robert Gray Elementary,2017-18,General,Science,,47,42.5%
2765,101265,Beverly Park Elem at Glendale,2017-18,General,English Language Arts,0.81%,246,25.2%
2765,101265,Beverly Park Elem at Glendale,2017-18,General,Math,0.80%,248,22.5%
2765,101265,Beverly Park Elem at Glendale,2017-18,General,Science,1.64%,60,25.0%
2766,101780,Kittitas High School,2017-18,General,English Language Arts,,228,51.2%
2766,101780,Kittitas High School,2017-18,General,Math,,231,35.3%
2766,101780,Kittitas High School,2017-18,General,Science,,106,44.3%
2768,101873,Washington Elementary School,2017-18,General,English Language Arts,2.62%,371,48.5%
2768,101873,Washington Elementary School,2017-18,General,Math,2.63%,370,42.9%
2768,101873,Washington Elementary School,2017-18,General,Science,3.15%,123,45.5%
2769,101892,P C Jantz Elementary,2017-18,General,English Language Arts,,76,44.7%
2769,101892,P C Jantz Elementary,2017-18,General,Math,,76,43.4%
2769,101892,P C Jantz Elementary,2017-18,General,Science,,15,86.6%
2770,102016,Bess Herian Elementary,2017-18,General,English Language Arts,3.39%,57,35.0%
2770,102016,Bess Herian Elementary,2017-18,General,Math,3.39%,57,28.0%
2770,102016,Bess Herian Elementary,2017-18,General,Science,,22,27.2%
2771,102128,Lister,2017-18,General,English Language Arts,,242,38.8%
2771,102128,Lister,2017-18,General,Math,,241,31.9%
2771,102128,Lister,2017-18,General,Science,,89,32.5%
2772,102129,Fawcett,2017-18,General,English Language Arts,,212,41.9%
2772,102129,Fawcett,2017-18,General,Math,,213,41.7%
2772,102129,Fawcett,2017-18,General,Science,,73,38.3%
2773,102332,Fife High School,2017-18,General,English Language Arts,0.71%,278,78.7%
2773,102332,Fife High School,2017-18,General,Math,0.71%,281,36.2%
2773,102332,Fife High School,2017-18,General,Science,,262,27.4%
2774,102381,Mary Purcell Elementary School,2017-18,General,English Language Arts,1.22%,242,59.9%
2774,102381,Mary Purcell Elementary School,2017-18,General,Math,1.23%,241,50.2%
2774,102381,Mary Purcell Elementary School,2017-18,General,Science,,58,55.1%
2776,102786,North Pines Middle School,2017-18,General,English Language Arts,2.76%,493,47.6%
2776,102786,North Pines Middle School,2017-18,General,Math,2.74%,497,39.4%
2776,102786,North Pines Middle School,2017-18,General,Science,3.87%,174,46.5%
2778,102965,Roosevelt Elementary School,2017-18,General,English Language Arts,,239,69.8%
2778,102965,Roosevelt Elementary School,2017-18,General,Math,,238,65.9%
2778,102965,Roosevelt Elementary School,2017-18,General,Science,,89,69.6%
2780,103017,Pioneer Middle School,2017-18,General,English Language Arts,0.93%,638,43.5%
2780,103017,Pioneer Middle School,2017-18,General,Math,0.93%,638,32.7%
2780,103017,Pioneer Middle School,2017-18,General,Science,1.38%,215,52.0%
2783,103268,Hilton Elementary School,2017-18,General,English Language Arts,1.04%,95,74.7%
2783,103268,Hilton Elementary School,2017-18,General,Math,1.03%,96,84.3%
2785,100412,Chief Joseph Middle School,2017-18,General,English Language Arts,1.60%,739,50.3%
2785,100412,Chief Joseph Middle School,2017-18,General,Math,1.60%,739,39.6%
2785,100412,Chief Joseph Middle School,2017-18,General,Science,1.43%,276,47.1%
2786,100413,Jason Lee Elementary School,2017-18,General,English Language Arts,,272,55.8%
2786,100413,Jason Lee Elementary School,2017-18,General,Math,,272,51.1%
2786,100413,Jason Lee Elementary School,2017-18,General,Science,,103,52.4%
2787,100440,VALE ELEMENTARY SCHOOL,2017-18,General,English Language Arts,0.39%,255,65.0%
2787,100440,VALE ELEMENTARY SCHOOL,2017-18,General,Math,0.39%,255,63.9%
2788,100721,Bridgeport High School,2017-18,General,English Language Arts,1.56%,63,57.1%
2788,100721,Bridgeport High School,2017-18,General,Math,1.56%,63,20.6%
2788,100721,Bridgeport High School,2017-18,General,Science,,65,27.6%
2789,100755,Republic Elementary School,2017-18,General,English Language Arts,,68,51.4%
2789,100755,Republic Elementary School,2017-18,General,Math,,68,32.3%
2789,100755,Republic Elementary School,2017-18,General,Science,,26,65.3%
2790,100761,Longfellow Elementary,2017-18,General,English Language Arts,0.72%,277,12.6%
2790,100761,Longfellow Elementary,2017-18,General,Math,0.72%,276,14.1%
2790,100761,Longfellow Elementary,2017-18,General,Science,,77,22.0%
2792,100808,Warden Elementary,2017-18,General,English Language Arts,1.23%,240,39.1%
2792,100808,Warden Elementary,2017-18,General,Math,1.23%,240,42.0%
2792,100808,Warden Elementary,2017-18,General,Science,,86,39.5%
2793,100840,Columbia Ridge Elementary,2017-18,General,English Language Arts,,201,49.2%
2793,100840,Columbia Ridge Elementary,2017-18,General,Math,,201,54.7%
2795,101417,Auburn Senior High School,2017-18,General,English Language Arts,2.02%,389,59.8%
2795,101417,Auburn Senior High School,2017-18,General,Math,2.01%,390,22.0%
2795,101417,Auburn Senior High School,2017-18,General,Science,3.57%,378,17.4%
2796,101525,Juanita Elementary,2017-18,General,English Language Arts,,178,75.2%
2796,101525,Juanita Elementary,2017-18,General,Math,,179,68.7%
2796,101525,Juanita Elementary,2017-18,General,Science,,63,74.6%
2797,101574,Kent-Meridian High School,2017-18,General,English Language Arts,0.22%,454,50.5%
2797,101574,Kent-Meridian High School,2017-18,General,Math,0.22%,455,18.6%
2797,101574,Kent-Meridian High School,2017-18,General,Science,0.87%,456,19.5%
2798,101704,David Wolfle Elementary,2017-18,General,English Language Arts,2.04%,192,60.9%
2798,101704,David Wolfle Elementary,2017-18,General,Math,2.04%,192,47.3%
2798,101704,David Wolfle Elementary,2017-18,General,Science,1.52%,65,50.7%
2799,101859,W F West High School,2017-18,General,English Language Arts,0.85%,232,63.3%
2799,101859,W F West High School,2017-18,General,Math,0.85%,234,37.6%
2799,101859,W F West High School,2017-18,General,Science,0.93%,213,42.2%
2800,101956,Brewster High School,2017-18,General,English Language Arts,1.41%,70,51.4%
2800,101956,Brewster High School,2017-18,General,Math,1.41%,70,15.7%
2800,101956,Brewster High School,2017-18,General,Science,,49,22.4%
2801,100855,Lake Roosevelt Jr/Sr High School,2017-18,General,English Language Arts,1.23%,161,45.3%
2801,100855,Lake Roosevelt Jr/Sr High School,2017-18,General,Math,1.23%,161,33.5%
2801,100855,Lake Roosevelt Jr/Sr High School,2017-18,General,Science,0.99%,100,28.0%
2802,100856,Lake Roosevelt Elementary,2017-18,General,English Language Arts,0.84%,237,31.2%
2802,100856,Lake Roosevelt Elementary,2017-18,General,Math,0.84%,237,24.8%
2802,100856,Lake Roosevelt Elementary,2017-18,General,Science,,73,23.2%
2803,101990,Raymond Elementary School,2017-18,General,English Language Arts,,164,39.0%
2803,101990,Raymond Elementary School,2017-18,General,Math,,164,25.0%
2803,101990,Raymond Elementary School,2017-18,General,Science,,39,25.6%
2804,101994,Chauncey Davis Elementary,2017-18,General,English Language Arts,0.61%,163,36.1%
2804,101994,Chauncey Davis Elementary,2017-18,General,Math,0.61%,163,23.9%
2804,101994,Chauncey Davis Elementary,2017-18,General,Science,,38,26.3%
2805,102130,Lowell,2017-18,General,English Language Arts,,226,84.9%
2805,102130,Lowell,2017-18,General,Math,,226,77.8%
2805,102130,Lowell,2017-18,General,Science,,69,81.1%
2806,102131,Reed,2017-18,General,English Language Arts,6.03%,187,37.9%
2806,102131,Reed,2017-18,General,Math,6.53%,186,26.3%
2806,102131,Reed,2017-18,General,Science,4.17%,69,28.9%
2807,102293,Bethel High School,2017-18,General,English Language Arts,0.70%,423,63.5%
2807,102293,Bethel High School,2017-18,General,Math,0.71%,422,30.0%
2807,102293,Bethel High School,2017-18,General,Science,0.93%,428,30.8%
2808,102317,Columbia Crest A-STEM Academy,2017-18,General,English Language Arts,,126,49.2%
2808,102317,Columbia Crest A-STEM Academy,2017-18,General,Math,,127,41.7%
2808,102317,Columbia Crest A-STEM Academy,2017-18,General,Science,,43,44.1%
2809,102333,Endeavour Intermediate,2017-18,General,English Language Arts,2.03%,435,40.2%
2809,102333,Endeavour Intermediate,2017-18,General,Math,2.03%,435,42.2%
2809,102333,Endeavour Intermediate,2017-18,General,Science,0.68%,146,41.7%
2810,102361,Concrete High School,2017-18,General,English Language Arts,,91,38.0%
2810,102361,Concrete High School,2017-18,General,Math,,92,18.4%
2810,102361,Concrete High School,2017-18,General,Science,,71,30.9%
2811,102445,Lowell Elementary,2017-18,General,English Language Arts,0.38%,260,57.3%
2811,102445,Lowell Elementary,2017-18,General,Math,0.38%,259,57.1%
2811,102445,Lowell Elementary,2017-18,General,Science,,81,50.6%
2813,102580,Totem Middle School,2017-18,General,English Language Arts,2.18%,538,31.0%
2813,102580,Totem Middle School,2017-18,General,Math,2.19%,537,24.0%
2813,102580,Totem Middle School,2017-18,General,Science,1.70%,173,32.9%
2814,102813,Sunset Elementary,2017-18,General,English Language Arts,0.87%,229,34.9%
2814,102813,Sunset Elementary,2017-18,General,Math,0.87%,229,31.4%
2814,102813,Sunset Elementary,2017-18,General,Science,,80,35.0%
2816,102948,Littlerock Elementary School,2017-18,General,English Language Arts,3.21%,151,72.1%
2816,102948,Littlerock Elementary School,2017-18,General,Math,3.21%,151,64.2%
2816,102948,Littlerock Elementary School,2017-18,General,Science,,51,70.5%
2817,103062,Carl Cozier Elementary School,2017-18,General,English Language Arts,5.23%,145,44.8%
2817,103062,Carl Cozier Elementary School,2017-18,General,Math,5.30%,143,36.3%
2817,103062,Carl Cozier Elementary School,2017-18,General,Science,8.11%,34,38.2%
2818,103188,Gilbert Elementary School,2017-18,General,English Language Arts,5.50%,275,39.6%
2818,103188,Gilbert Elementary School,2017-18,General,Math,5.46%,277,35.3%
2818,103188,Gilbert Elementary School,2017-18,General,Science,3.77%,102,30.3%
2819,103189,Nob Hill Elementary School,2017-18,General,English Language Arts,,230,51.3%
2819,103189,Nob Hill Elementary School,2017-18,General,Math,,230,43.0%
2819,103189,Nob Hill Elementary School,2017-18,General,Science,,75,48.0%
2821,103210,Terrace Heights Elementary,2017-18,General,English Language Arts,,262,58.7%
2821,103210,Terrace Heights Elementary,2017-18,General,Math,,262,57.6%
2821,103210,Terrace Heights Elementary,2017-18,General,Science,,88,52.2%
2822,103288,Ahtanum Valley Elementary,2017-18,General,English Language Arts,,118,65.2%
